,carat,cut,color,clarity,depth,table,price
24519,1.54,4,G,VS2,60.9,59.0,12800
24520,1.56,5,G,VS2,62.2,54.0,12800
24521,1.57,5,H,VS2,61.5,54.0,12809
24522,1.57,5,H,VS1,62.2,55.0,12810
24523,2.29,1,J,SI1,56.8,66.0,12811
24524,1.9,4,F,SI2,62.9,61.0,12812
24525,2.01,5,J,SI2,62.1,56.0,12814
24526,1.91,5,G,SI2,62.2,55.0,12816
24527,1.66,3,E,SI1,61.7,58.0,12818
24528,1.64,4,F,SI1,61.3,58.0,12821
24529,1.5,5,G,VS2,63.0,56.0,12821
24530,1.5,4,G,VVS2,61.2,59.0,12821
24531,1.81,3,I,VS2,62.7,58.0,12822
24532,1.52,4,D,SI1,59.8,58.0,12823
24533,1.52,4,D,SI1,59.5,61.0,12823
24534,1.52,4,D,SI1,59.2,61.0,12823
24535,1.31,5,F,VS1,62.1,55.0,12825
24536,2.18,2,H,SI1,63.8,57.0,12825
24537,1.62,5,F,SI1,62.7,56.0,12828
24538,1.51,1,E,VS2,65.0,58.0,12829
24539,2.01,5,G,SI1,61.6,57.0,12829
24540,2.01,3,H,SI2,63.4,56.0,12829
24541,2.01,4,I,SI1,60.5,58.0,12829
24542,2.01,4,H,SI1,61.2,62.0,12829
24543,1.72,5,G,VS2,62.8,57.0,12830
24544,1.51,4,G,VS1,62.4,60.0,12831
24545,2.26,5,G,SI2,61.9,57.0,12831
24546,2.02,4,J,VS2,61.1,58.0,12832
24547,2.02,5,J,VS2,62.0,56.0,12832
24548,1.7,3,H,VS2,63.3,58.0,12833
24549,2.05,3,I,SI2,59.8,56.0,12839
24550,1.52,3,G,VS2,62.1,58.0,12840
24551,1.52,5,G,VS2,61.1,57.0,12840
24552,1.28,5,F,VVS2,62.2,56.0,12841
24553,2.06,4,I,SI2,61.1,57.0,12842
24554,1.78,5,H,SI1,62.1,57.0,12843
24555,1.58,3,E,SI1,62.9,59.0,12844
24556,2.03,4,I,SI1,59.8,59.0,12844
24557,2.01,3,J,VS1,60.2,61.0,12845
24558,1.59,3,D,VS2,61.4,60.0,12846
24559,1.51,5,G,VS2,59.8,60.0,12846
24560,1.23,5,D,VVS2,62.0,55.0,12848
24561,1.53,5,H,VVS2,61.9,57.0,12848
24562,1.53,4,E,SI1,61.3,59.0,12851
24563,2.18,3,J,SI2,62.6,58.0,12853
24564,2.05,4,G,SI2,62.1,56.0,12857
24565,1.62,5,F,SI1,62.5,55.0,12857
24566,1.5,3,G,VS1,61.7,63.0,12862
24567,2.03,4,J,SI1,62.1,59.0,12862
24568,1.56,5,H,VS2,62.2,56.0,12864
24569,1.01,5,E,IF,61.4,57.0,12865
24570,1.5,3,F,VS2,62.6,59.0,12870
24571,1.5,2,E,SI1,64.2,55.0,12870
24572,1.6,5,F,SI1,61.0,57.0,12871
24573,1.51,4,G,VS2,62.5,59.0,12872
24574,1.51,4,G,VS2,62.7,58.0,12872
24575,1.51,3,G,VS2,63.3,60.0,12872
24576,1.51,3,G,VS2,63.5,57.0,12872
24577,1.7,3,H,VS2,61.9,60.0,12874
24578,1.7,3,H,VS2,62.8,58.0,12874
24579,1.72,4,H,SI1,61.4,59.0,12880
24580,2.48,5,I,SI2,62.3,57.0,12883
24581,2.08,4,G,SI2,62.2,60.0,12883
24582,2.02,5,J,SI1,62.7,54.2,12884
24583,1.42,3,G,VVS2,62.6,60.0,12891
24584,2.05,4,D,SI2,60.0,58.0,12891
24585,1.15,3,E,IF,59.2,57.0,12895
24586,1.64,4,E,SI1,61.8,59.0,12896
24587,1.58,5,H,VVS2,62.0,56.0,12897
24588,2.01,4,E,SI1,60.4,61.0,12898
24589,1.51,4,F,VS2,61.8,56.0,12899
24590,1.49,4,G,VS1,60.8,62.0,12900
24591,1.2,3,F,IF,62.3,60.0,12905
24592,1.51,3,G,VS2,63.5,59.0,12906
24593,1.22,5,F,VVS1,61.5,58.0,12906
24594,2.0,5,I,VS1,62.3,56.0,12907
24595,1.53,5,G,VS2,62.8,57.0,12907
24596,2.28,3,H,SI2,63.3,54.0,12907
24597,1.52,5,E,SI1,62.0,56.0,12907
24598,2.0,1,I,VS1,66.3,54.0,12907
24599,1.63,5,H,SI1,61.8,57.0,12910
24600,1.19,5,D,VVS2,62.0,57.0,12912
24601,2.02,3,J,SI1,63.5,60.0,12915
24602,1.52,3,G,VS1,59.3,59.0,12916
24603,1.75,2,D,SI1,63.8,57.0,12918
24604,2.23,4,H,SI2,59.4,59.0,12921
24605,1.98,1,H,VS1,58.3,69.0,12923
24606,2.02,2,I,SI2,61.0,62.0,12927
24607,2.02,2,G,SI2,57.5,61.0,12929
24608,2.06,4,H,SI2,62.6,58.0,12931
24609,1.73,4,H,SI1,61.8,57.0,12931
24610,1.3,5,G,IF,61.3,56.0,12932
24611,2.11,3,I,SI2,63.8,54.0,12937
24612,2.27,5,I,SI2,60.5,55.0,12939
24613,1.81,4,I,VS2,62.7,58.0,12939
24614,2.0,4,H,SI2,62.5,58.0,12940
24615,1.39,5,G,IF,60.6,55.0,12943
24616,2.3,2,I,SI2,63.8,55.0,12944
24617,1.67,5,H,VS2,62.6,56.0,12945
24618,1.51,5,G,VS2,62.2,57.0,12947
24619,1.51,1,G,VS1,60.8,66.0,12948
24620,1.51,4,G,VS1,62.4,60.0,12948
24621,1.55,5,G,SI1,61.7,57.0,12951
24622,1.11,5,F,VVS1,59.7,58.0,12956
24623,1.11,5,F,VVS1,62.1,57.0,12956
24624,1.28,5,F,VVS2,62.2,56.0,12958
24625,1.52,4,G,VS2,62.6,55.0,12958
24626,1.52,5,G,VS2,61.1,57.0,12958
24627,2.34,2,J,VS2,63.9,62.0,12961
24628,2.01,4,J,VS1,60.2,61.0,12963
24629,2.01,2,I,SI2,59.1,59.0,12964
24630,1.3,2,E,VVS2,62.8,59.0,12967
24631,2.01,3,J,VS2,60.8,58.0,12968
24632,1.52,3,G,VS1,62.1,57.0,12968
24633,1.53,4,E,SI1,61.3,59.0,12968
24634,2.18,4,J,SI2,62.6,58.0,12970
24635,2.14,4,I,SI2,62.1,58.0,12970
24636,1.59,5,H,VVS2,62.6,54.0,12971
24637,1.71,5,E,SI2,62.7,55.0,12978
24638,1.54,5,F,VS2,61.9,57.0,12978
24639,2.03,4,J,SI1,62.1,59.0,12979
24640,2.13,4,I,SI2,59.8,58.0,12980
24641,1.51,3,H,VVS1,61.5,58.0,12981
24642,1.78,3,D,SI2,62.5,57.0,12981
24643,1.53,5,D,SI1,61.4,58.0,12981
24644,1.79,4,I,VS1,62.6,59.0,12985
24645,2.01,2,I,SI2,63.5,60.0,12985
24646,1.52,4,F,VS2,62.2,58.0,12985
24647,2.0,4,E,SI2,60.3,58.0,12987
24648,1.5,3,H,IF,63.0,59.0,12988
24649,1.16,5,D,VVS2,62.0,55.0,12989
24650,1.63,5,G,SI1,60.6,57.0,12990
24651,1.58,5,F,SI1,60.2,56.0,12991
24652,1.7,4,H,VS2,61.9,60.0,12992
24653,1.7,4,H,VS2,62.8,58.0,12992
24654,1.01,5,D,VVS2,61.6,57.0,12996
24655,1.7,5,I,VS1,61.9,55.0,12996
24656,1.73,3,H,VS2,61.7,56.0,12998
24657,1.72,4,H,SI1,61.4,59.0,12998
24658,1.5,3,F,VS2,61.9,60.0,13001
24659,1.52,3,E,VS2,60.3,59.0,13001
24660,2.01,4,I,VS2,59.5,60.0,13003
24661,1.25,5,E,VVS2,60.9,60.0,13006
24662,2.15,5,I,SI1,60.9,56.0,13006
24663,2.1,1,G,SI2,65.2,56.0,13007
24664,2.1,3,G,SI2,63.4,58.0,13007
24665,2.0,4,G,SI2,60.8,55.0,13007
24666,1.5,4,G,VS1,62.4,60.0,13009
24667,1.51,2,F,VS2,61.0,63.0,13010
24668,1.51,3,F,VS2,63.7,60.0,13012
24669,1.58,4,G,VS2,62.6,59.0,13014
24670,1.2,3,E,VVS1,61.3,60.0,13015
24671,2.07,1,D,SI2,64.5,60.0,13016
24672,1.77,5,D,SI2,61.8,57.0,13026
24673,2.44,4,I,SI2,61.4,56.0,13027
24674,1.22,5,F,VVS1,61.2,57.0,13029
24675,1.23,5,E,VVS2,59.9,57.0,13034
24676,1.5,5,G,VS1,60.6,57.0,13034
24677,1.52,4,G,VS1,61.4,58.0,13034
24678,1.52,4,G,VS1,62.4,58.0,13034
24679,1.58,3,G,VS2,59.6,58.0,13037
24680,1.5,3,F,VS2,63.9,57.0,13037
24681,1.74,4,I,VS1,62.5,57.0,13037
24682,2.08,5,J,SI1,61.6,58.0,13038
24683,2.0,3,J,VS2,60.8,62.0,13043
24684,2.11,4,J,VS2,59.9,60.0,13046
24685,1.61,3,E,SI1,62.3,57.0,13047
24686,1.75,2,I,VS1,58.3,59.0,13047
24687,1.5,5,G,VS2,62.2,58.0,13049
24688,2.01,4,I,SI2,58.2,61.0,13052
24689,1.05,5,F,IF,61.7,56.0,13060
24690,0.41,2,E,SI2,63.4,58.0,638
24691,0.41,2,E,SI2,63.2,58.0,638
24692,0.41,3,E,SI2,59.5,62.0,638
24693,0.41,2,E,SI2,63.3,56.0,638
24694,0.3,3,G,VVS2,60.4,60.0,638
24695,0.3,5,G,VVS2,62.2,54.0,638
24696,0.3,3,G,VVS2,59.7,63.0,638
24697,0.3,3,G,VVS2,62.9,58.0,638
24698,0.3,3,H,VVS1,62.6,56.0,638
24699,0.3,3,H,VVS1,61.1,61.0,638
24700,0.3,2,H,VVS1,63.1,54.0,638
24701,0.3,5,H,VVS1,62.5,53.8,639
24702,0.4,5,I,VS2,61.8,56.0,639
24703,0.32,5,E,VS2,62.1,55.0,639
24704,0.32,5,E,VS2,61.7,56.0,639
24705,0.32,5,F,VS1,61.5,56.0,639
24706,0.41,5,I,SI1,61.6,56.0,639
24707,0.38,5,G,SI1,60.2,57.0,639
24708,0.38,5,G,SI1,61.9,56.0,639
24709,0.31,4,E,VS2,58.6,58.0,639
24710,0.31,4,E,VS2,58.1,60.0,639
24711,0.3,3,H,VS1,63.2,59.0,639
24712,0.3,3,E,VS2,61.5,58.0,640
24713,0.31,3,G,VS1,61.6,56.0,640
24714,0.31,3,G,VS1,61.9,54.0,640
24715,0.31,3,G,VS1,60.5,57.0,640
24716,0.3,3,E,VS1,58.4,62.0,640
24717,0.3,3,E,VS1,63.8,59.0,640
24718,0.38,3,E,SI1,58.3,61.0,640
24719,0.31,5,F,VS2,61.1,56.0,640
24720,1.03,5,F,IF,62.3,57.0,13060
24721,1.39,5,G,IF,60.6,55.0,13061
24722,1.67,5,H,VS2,62.6,56.0,13063
24723,2.03,3,I,SI2,62.8,59.0,13063
24724,2.03,3,I,SI2,62.8,60.0,13063
24725,2.14,5,E,SI2,62.7,55.0,13065
24726,2.2,4,J,SI2,60.9,60.0,13065
24727,1.51,3,G,VS2,64.0,56.0,13068
24728,2.02,4,I,VS2,59.2,58.0,13068
24729,1.71,2,H,VS2,63.7,58.0,13068
24730,2.23,4,J,SI1,62.1,59.0,13069
24731,2.11,4,G,SI2,61.4,62.0,13069
24732,1.51,4,F,VS2,62.1,59.0,13074
24733,1.51,4,H,IF,60.2,60.0,13075
24734,1.53,4,G,VS2,59.4,59.0,13077
24735,1.72,4,H,SI1,62.9,58.0,13078
24736,1.56,4,G,VS1,60.2,60.0,13079
24737,1.51,3,F,VS2,63.2,56.0,13080
24738,1.75,4,H,SI1,61.4,59.0,13081
24739,2.17,4,F,SI2,59.3,61.0,13084
24740,1.77,4,I,VS1,62.2,58.0,13085
24741,1.2,5,F,VVS1,61.1,55.0,13088
24742,2.09,4,J,SI2,60.0,60.0,13092
24743,1.91,4,I,SI1,59.6,60.0,13092
24744,2.26,3,H,SI2,63.2,58.0,13095
24745,1.25,5,G,VVS1,61.3,57.0,13096
24746,1.71,4,I,VS1,60.7,60.0,13097
24747,1.71,5,E,SI2,62.7,55.0,13097
24748,2.0,4,D,SI2,61.9,59.0,13098
24749,1.96,3,H,SI2,62.7,58.0,13099
24750,1.73,3,H,VS2,59.2,61.0,13102
24751,1.79,4,I,VS1,62.6,59.0,13104
24752,1.5,4,H,IF,63.0,59.0,13107
24753,2.03,2,D,SI2,63.1,59.0,13109
24754,2.02,5,I,SI2,61.7,57.0,13109
24755,2.01,3,J,VS2,61.1,59.0,13109
24756,1.54,5,G,VS2,62.0,55.6,13110
24757,1.13,3,D,VVS2,61.5,58.0,13111
24758,1.5,4,G,VS2,60.5,59.0,13112
24759,2.0,3,J,VS2,60.7,59.0,13113
24760,1.51,5,G,VS2,61.9,57.0,13115
24761,2.02,4,I,SI2,58.0,58.0,13117
24762,2.02,4,I,SI2,61.2,58.0,13117
24763,2.09,4,H,SI2,60.9,58.0,13119
24764,1.53,4,G,VS1,60.2,59.0,13119
24765,1.54,4,G,VS2,61.8,58.0,13120
24766,1.72,4,H,VS2,61.9,56.0,13122
24767,1.7,4,I,VVS2,61.7,57.4,13127
24768,2.02,5,J,SI1,62.2,57.0,13132
24769,1.58,4,G,VS2,62.6,59.0,13132
24770,2.01,4,J,SI2,60.8,57.2,13133
24771,2.0,4,H,SI2,61.5,61.0,13134
24772,1.83,3,E,SI2,62.8,56.0,13134
24773,1.51,4,F,VS1,62.7,59.0,13134
24774,1.5,5,G,VS2,60.7,54.0,13135
24775,1.5,5,G,VS2,61.7,54.0,13135
24776,1.5,5,G,VS2,62.0,55.0,13135
24777,1.6,5,F,SI1,61.1,55.0,13140
24778,2.02,2,H,SI2,59.0,61.0,13144
24779,2.13,4,J,SI2,62.6,58.0,13148
24780,1.71,3,F,SI1,63.3,53.0,13152
24781,1.52,5,G,VS2,61.5,56.0,13153
24782,1.5,5,G,VS2,62.2,54.0,13154
24783,1.51,2,G,VVS2,63.8,59.0,13155
24784,2.75,5,D,I1,60.9,57.0,13156
24785,1.51,5,E,VS2,61.1,57.0,13157
24786,1.51,4,G,VS2,60.8,60.0,13157
24787,1.5,2,F,VS2,58.6,64.0,13160
24788,1.52,3,G,VS2,61.9,56.0,13161
24789,1.51,5,D,SI1,62.0,56.0,13162
24790,2.0,4,J,VS2,60.8,62.0,13162
24791,1.51,5,G,VS2,62.2,59.0,13163
24792,1.2,5,D,VVS2,62.7,56.0,13165
24793,1.31,5,G,VVS2,60.3,56.0,13168
24794,1.71,3,H,SI1,60.8,56.0,13169
24795,1.55,5,E,SI1,61.5,56.0,13171
24796,1.62,4,F,SI1,62.6,58.0,13177
24797,1.56,4,G,VS2,61.9,58.0,13178
24798,1.24,5,G,IF,62.0,55.0,13178
24799,2.03,4,I,SI2,63.0,56.0,13182
24800,2.03,4,I,SI2,62.8,59.0,13182
24801,2.03,5,I,SI2,60.0,57.0,13182
24802,2.1,5,I,SI1,61.7,55.0,13182
24803,1.63,2,F,SI1,59.8,56.0,13187
24804,1.53,3,G,VS1,62.8,59.0,13189
24805,1.71,5,H,VS2,62.4,58.0,13190
24806,1.51,4,H,IF,60.2,60.0,13194
24807,1.51,4,G,VS2,61.2,61.0,13194
24808,1.54,3,D,SI1,63.0,59.0,13196
24809,1.71,5,G,SI1,62.1,56.0,13196
24810,2.06,4,I,SI2,62.7,60.0,13198
24811,2.01,4,H,SI2,61.9,57.0,13199
24812,1.27,3,F,VVS1,62.5,56.0,13200
24813,2.29,5,J,SI2,62.3,57.0,13200
24814,2.01,5,F,SI2,62.9,56.0,13201
24815,2.0,3,J,VS1,61.0,51.6,13203
24816,3.0,4,G,I1,59.7,60.0,13203
24817,2.14,4,J,SI2,61.5,59.0,13205
24818,2.08,3,H,SI2,63.4,59.0,13206
24819,1.53,4,G,VS2,59.9,61.0,13206
24820,1.52,4,G,VS1,61.5,58.0,13207
24821,1.63,3,H,VVS1,59.1,58.0,13211
24822,2.09,4,J,SI2,60.0,60.0,13212
24823,1.51,5,G,VS2,59.8,57.0,13214
24824,1.52,3,F,VS2,60.9,56.0,13215
24825,2.01,4,J,SI1,63.0,57.0,13219
24826,1.73,4,H,VS2,59.2,61.0,13221
24827,1.51,4,F,VS2,61.8,56.0,13221
24828,1.53,3,G,VS2,58.9,59.0,13225
24829,2.01,4,J,VS2,61.5,60.0,13228
24830,1.53,3,G,VS1,60.3,59.0,13228
24831,2.01,4,J,VS2,61.1,59.0,13228
24832,2.03,4,D,SI2,61.7,58.0,13229
24833,2.02,5,I,SI2,61.7,57.0,13229
24834,2.02,4,H,SI1,61.4,61.0,13229
24835,1.35,5,G,VVS2,61.5,55.0,13230
24836,1.5,2,D,VS2,64.1,54.0,13232
24837,2.11,4,H,SI2,61.0,58.0,13233
24838,1.51,5,G,VS2,62.0,56.0,13234
24839,1.5,3,G,VS2,63.5,54.0,13239
24840,2.33,2,G,SI2,63.9,60.0,13242
24841,1.7,5,I,VVS2,61.7,57.0,13247
24842,1.53,2,H,IF,63.1,57.0,13248
24843,1.53,3,G,VS2,61.6,57.0,13248
24844,1.51,4,F,VS2,63.0,56.0,13248
24845,2.17,4,H,SI1,62.3,58.0,13248
24846,1.73,5,I,VS1,61.4,57.0,13250
24847,1.38,5,G,VVS1,61.8,56.0,13250
24848,1.73,4,I,VS1,61.8,58.0,13250
24849,1.63,3,G,VS2,62.5,57.0,13253
24850,2.01,5,J,SI2,60.8,57.0,13253
24851,1.51,5,E,SI1,62.2,56.0,13254
24852,1.83,5,E,SI2,62.8,56.0,13254
24853,1.7,4,G,SI1,61.7,58.0,13256
24854,1.18,5,F,VVS1,61.5,55.6,13257
24855,1.32,5,G,VVS2,61.6,56.0,13261
24856,2.0,5,J,VS2,62.3,55.0,13263
24857,2.18,4,I,SI1,63.0,58.0,13263
24858,2.02,4,F,SI2,61.3,58.0,13267
24859,2.01,3,F,SI1,63.4,58.0,13275
24860,1.51,2,G,VVS2,63.8,59.0,13275
24861,1.93,3,I,SI1,62.8,58.0,13278
24862,2.5,1,H,SI2,64.9,58.0,13278
24863,2.5,1,H,SI2,64.9,58.0,13278
24864,1.52,5,E,SI1,62.1,56.0,13280
24865,1.52,4,G,VS2,61.9,56.0,13282
24866,1.54,3,G,VS1,60.7,60.0,13284
24867,2.02,2,I,SI1,64.3,56.0,13286
24868,1.5,3,D,VS2,62.4,59.0,13287
24869,1.52,4,G,VS2,62.7,58.0,13287
24870,1.71,2,E,SI1,64.0,53.0,13287
24871,1.57,4,F,SI1,58.3,58.0,13288
24872,1.64,5,F,SI1,61.8,55.0,13289
24873,1.55,5,E,SI1,61.5,56.0,13291
24874,1.54,4,G,VS2,60.2,60.0,13292
24875,1.51,4,G,VS1,61.1,58.0,13293
24876,1.62,4,F,SI1,63.0,58.0,13298
24877,1.59,5,D,SI1,61.3,56.0,13298
24878,1.62,4,F,SI1,62.6,58.0,13298
24879,1.7,4,H,VS2,62.4,57.0,13298
24880,1.56,4,G,VS2,61.9,58.0,13299
24881,2.12,4,H,SI2,61.5,59.0,13307
24882,1.5,2,G,VS2,61.4,58.8,13307
24883,1.01,3,D,VVS1,62.8,57.0,13312
24884,1.54,4,D,SI1,63.0,59.0,13316
24885,2.15,2,G,SI2,63.8,58.0,13317
24886,2.06,4,G,SI1,59.3,61.0,13317
24887,2.15,4,G,SI2,59.7,60.0,13317
24888,1.27,4,F,VVS1,62.5,56.0,13320
24889,2.0,5,H,VS2,60.5,56.0,13320
24890,2.0,3,H,SI1,63.2,54.0,13320
24891,2.0,2,E,SI2,57.3,65.0,13320
24892,2.0,5,H,SI1,62.9,56.0,13320
24893,1.2,4,E,VVS1,60.2,60.0,13321
24894,2.01,3,I,SI2,61.8,58.0,13323
24895,1.53,5,E,SI1,61.2,58.0,13324
24896,1.51,5,F,VS2,61.7,57.0,13325
24897,1.71,4,D,SI2,60.6,60.0,13325
24898,2.14,4,J,SI2,61.5,59.0,13326
24899,1.58,4,D,SI1,60.2,58.0,13329
24900,1.58,4,D,SI1,59.0,59.0,13329
24901,1.52,5,D,SI1,61.2,57.0,13329
24902,1.5,4,F,VS2,62.4,57.0,13333
24903,1.51,5,F,SI1,61.7,56.0,13334
24904,1.51,3,G,VVS2,62.1,59.0,13337
24905,1.99,2,J,VS2,62.9,61.0,13338
24906,2.1,3,J,VS2,61.5,60.7,13340
24907,2.01,4,H,VS2,62.8,58.0,13342
24908,1.06,5,E,IF,62.0,57.0,13344
24909,1.51,3,G,VS1,61.8,57.0,13348
24910,2.0,5,F,SI2,61.6,57.0,13351
24911,1.51,5,G,VS2,62.0,56.0,13355
24912,2.19,4,J,SI2,61.8,60.0,13355
24913,2.03,5,J,SI1,62.6,55.0,13357
24914,1.28,5,G,IF,61.7,56.0,13360
24915,1.75,4,D,SI2,60.6,60.0,13363
24916,1.63,5,F,SI1,61.5,56.0,13363
24917,1.73,4,F,SI1,58.0,62.0,13365
24918,1.91,4,I,SI1,60.9,53.0,13367
24919,1.91,4,I,SI1,63.0,59.0,13367
24920,1.53,5,G,VS2,61.6,57.0,13369
24921,1.53,3,H,IF,63.1,57.0,13369
24922,2.21,4,H,SI2,62.9,60.0,13369
24923,2.13,1,H,SI2,64.5,58.0,13370
24924,2.13,4,I,SI1,62.5,60.0,13370
24925,1.5,3,D,VS2,63.0,59.0,13372
24926,2.07,5,F,SI2,60.5,57.0,13373
24927,1.68,5,H,SI1,61.9,56.0,13375
24928,1.71,4,H,VS2,62.5,58.0,13376
24929,1.5,5,G,VS1,61.8,56.0,13377
24930,1.51,3,G,VS1,62.9,58.0,13378
24931,1.5,3,G,VS1,62.4,57.0,13379
24932,2.01,1,F,SI1,58.6,95.0,13387
24933,2.01,4,H,SI1,60.6,59.0,13387
24934,2.01,4,E,SI2,62.2,60.0,13387
24935,2.01,5,E,SI2,62.1,57.0,13387
24936,1.52,4,F,VS2,60.5,58.0,13389
24937,1.75,5,I,SI1,61.8,56.0,13393
24938,2.17,4,J,SI2,62.3,60.0,13395
24939,1.58,5,H,VVS2,61.4,56.0,13397
24940,2.03,5,I,SI2,60.8,59.0,13398
24941,1.7,5,G,VS1,62.5,57.0,13398
24942,2.02,1,J,VS1,64.6,59.0,13399
24943,2.01,4,J,VS2,60.5,60.0,13400
24944,2.01,4,I,SI2,60.0,61.0,13400
24945,2.1,5,H,VS2,62.5,57.0,13403
24946,1.11,4,D,VVS1,62.0,54.0,13405
24947,1.31,5,G,VVS1,61.9,55.0,13406
24948,1.7,4,G,SI1,62.1,57.0,13417
24949,1.86,4,G,SI2,62.8,58.0,13420
24950,2.0,4,G,SI2,62.9,58.0,13420
24951,1.55,5,H,IF,61.4,57.0,13421
24952,2.14,4,H,SI2,61.2,57.0,13421
24953,1.53,4,F,VS2,62.2,58.0,13423
24954,1.68,5,H,VS2,61.3,56.0,13427
24955,1.5,5,G,VS2,61.4,59.0,13428
24956,1.58,5,E,SI1,61.0,57.0,13434
24957,2.08,4,F,SI2,62.0,60.0,13437
24958,1.37,5,G,IF,62.3,54.0,13439
24959,2.0,1,H,SI1,65.1,59.0,13442
24960,1.68,4,G,VS1,58.2,57.0,13445
24961,1.71,3,H,VS2,62.6,59.0,13445
24962,1.71,5,H,VS2,62.5,57.0,13445
24963,1.5,4,D,SI1,61.6,59.0,13445
24964,2.02,5,F,SI2,62.7,57.0,13453
24965,2.02,4,H,SI1,63.0,60.0,13453
24966,2.12,4,H,SI2,61.5,59.0,13460
24967,1.57,5,G,VS1,61.9,55.0,13462
24968,2.1,5,J,VS2,61.5,61.0,13462
24969,2.01,2,I,SI1,64.1,62.0,13464
24970,2.01,3,I,SI1,61.7,60.0,13464
24971,1.73,5,I,VS2,61.0,56.0,13465
24972,1.2,5,E,VVS1,61.6,57.0,13474
24973,1.51,4,F,VS2,62.2,60.0,13474
24974,2.04,4,J,VS2,61.4,59.0,13477
24975,1.71,5,H,SI1,61.8,57.0,13477
24976,2.0,2,H,SI2,63.6,57.0,13480
24977,1.52,4,G,VS2,62.0,58.0,13483
24978,1.13,5,E,VVS1,61.8,57.0,13485
24979,1.29,5,D,VS1,62.4,55.0,13485
24980,1.75,4,D,SI2,60.6,60.0,13485
24981,1.72,4,H,VS2,61.3,59.0,13486
24982,2.01,3,I,SI2,60.9,60.0,13488
24983,2.07,3,J,VS2,61.3,56.0,13495
24984,2.01,5,G,SI2,63.0,56.0,13498
24985,2.02,3,J,VS2,62.6,58.0,13499
24986,1.72,2,F,SI1,64.3,60.0,13499
24987,1.72,2,F,SI1,63.2,61.0,13499
24988,1.51,3,G,VVS2,63.6,57.0,13500
24989,2.09,3,I,SI2,63.1,60.0,13500
24990,2.33,3,H,SI2,63.2,56.0,13500
24991,2.02,1,H,SI1,66.3,57.0,13502
24992,1.76,3,H,VS2,62.2,60.0,13503
24993,1.5,4,F,VS2,62.0,53.0,13506
24994,1.5,4,F,VS2,61.3,58.0,13506
24995,1.54,5,G,VS2,60.2,59.0,13508
24996,2.2,5,I,SI2,62.2,56.0,13512
24997,1.5,4,E,VS1,60.1,60.0,13513
24998,1.51,2,G,VS1,62.4,59.0,13515
24999,1.5,3,G,VS2,61.1,60.0,13528
25000,1.29,5,E,VVS2,59.8,59.0,13530
25001,1.52,4,F,VS2,59.4,60.0,13530
25002,2.0,5,H,VS2,61.6,57.0,13531
25003,1.51,5,G,VS2,62.1,55.0,13532
25004,1.25,5,E,VVS1,62.6,56.0,13536
25005,1.5,3,F,VS2,59.7,56.0,13537
25006,1.22,5,F,VVS1,62.0,54.0,13539
25007,2.14,4,G,SI2,60.7,59.0,13540
25008,2.0,3,J,VS2,60.7,60.0,13542
25009,2.0,2,J,VS2,58.0,62.0,13542
25010,2.0,2,J,VS2,61.4,63.0,13542
25011,2.05,4,J,VS2,62.3,60.0,13543
25012,1.55,5,H,IF,61.4,57.0,13544
25013,2.04,2,J,VS2,59.6,56.0,13550
25014,2.0,4,J,VS2,61.5,59.0,13552
25015,1.5,1,G,VVS2,64.8,56.0,13553
25016,2.22,4,F,SI2,59.2,59.0,13553
25017,1.61,5,G,VS2,62.2,56.0,13553
25018,2.02,3,G,SI2,63.3,59.0,13554
25019,2.02,3,G,SI2,63.2,54.0,13554
25020,0.38,5,F,SI1,61.8,55.0,640
25021,0.3,5,E,SI1,61.7,57.0,640
25022,0.3,5,E,SI1,61.3,56.0,640
25023,0.3,5,E,SI1,61.7,55.0,640
25024,0.3,1,E,VS1,56.3,62.0,640
25025,0.23,4,E,VVS1,60.8,56.0,640
25026,0.23,4,D,VVS2,59.6,61.0,640
25027,0.4,4,E,SI2,60.5,59.0,640
25028,0.34,3,G,VS1,62.2,55.0,640
25029,0.3,3,F,VS1,59.8,60.0,640
25030,0.31,3,D,VS2,63.6,55.0,641
25031,0.36,3,F,SI1,60.7,54.0,641
25032,0.27,5,G,VVS2,62.8,56.0,641
25033,0.34,5,F,VS2,62.2,55.0,641
25034,0.4,5,J,VS1,60.4,56.0,641
25035,0.34,2,E,SI1,60.5,60.1,641
25036,0.38,2,E,SI1,62.8,61.0,641
25037,0.38,4,I,SI2,62.7,58.0,641
25038,0.3,4,F,SI1,60.9,60.0,641
25039,0.3,4,F,SI1,62.1,61.0,641
25040,0.3,4,F,SI1,62.1,60.0,641
25041,0.3,5,F,SI1,62.3,54.0,641
25042,0.3,2,F,SI1,63.6,55.0,641
25043,0.3,4,F,SI1,61.7,59.0,641
25044,0.3,5,F,SI1,62.8,56.0,641
25045,0.3,3,F,SI1,63.5,57.0,641
25046,0.3,5,F,SI1,62.9,57.0,641
25047,0.3,3,F,SI1,63.5,59.0,641
25048,0.3,3,F,SI1,63.5,57.0,641
25049,0.38,4,I,SI2,60.0,59.0,641
25050,1.63,3,E,VS2,61.8,58.0,13555
25051,2.17,4,J,SI2,62.3,58.0,13556
25052,1.58,5,E,SI1,61.0,57.0,13557
25053,2.3,4,J,SI2,59.7,58.0,13560
25054,1.81,4,E,SI2,58.2,61.0,13561
25055,2.41,4,I,SI2,60.7,59.0,13563
25056,2.02,3,J,VS2,61.5,59.0,13564
